time_s,Qin_m3_s,Qout_m3_s,Qleak_m3_s,P_damage_Pa,sensor_voltage_V,sensor_deltaP_Pa,leak_conductance_m3_Pa_s,hydrogel_swelling_fraction
0,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004789861098124443,224.35565240299206,0.0,0.0
1,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047789785902751624,224.35565240299206,0.0,0.0
2,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047667549306340957,224.35565240299206,0.0,0.0
3,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004784209089500767,224.35565240299206,0.0,0.0
4,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047672794563965955,224.35565240299206,0.0,0.0
5,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004763404396490162,224.35565240299206,0.0,0.0
6,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047646023322984413,224.35565240299206,0.0,0.0
7,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004775439890205837,224.35565240299206,0.0,0.0
8,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004753439095603835,224.35565240299206,0.0,0.0
9,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047474907179539044,224.35565240299206,0.0,0.0
10,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.000475889709094822,224.35565240299206,0.0,0.0
11,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.0004781678661587357,224.35565240299206,0.0,0.0
12,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047506810113638425,224.35565240299206,0.0,0.0
13,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047753428574088923,224.35565240299206,0.0,0.0
14,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047477308446737917,224.35565240299206,0.0,0.0
15,1.620552827036698e-09,1.6205528270366982e-09,0.0,516.1408506968388,-0.00047867498053771,224.35565240299206,0.0,0.0
